編號,名稱,類別,去年EPS,五年平均EPS,近四季EPS,預測EPS,預測本益比,去年股利,去年股息,預測股利,五年平均殖利率,預測殖利率,合理價位,目前價格,K,D,五年均價,營收更新月,推(股利),推(EPS),推(KD)
2228,劍麟,未知,8.66,8.04,2.22|2.64|0.85|-1.01|,-0.32,-245,5,0,-0.19,3.62,-0.24,-2.71,78.4,27.52,30.77,198.87|146.95|87.22|103.78|89.69|,2020/8,N,N,N
2231,為升,未知,7.81,9.79,2.18|0.53|0.74|0|,1.27,135.83,6.99,0.21,1.05,2.37,0.61,15,172.5,65.8,70.99,347.96|317.82|305.93|269.13|160.76|,2020/8,N,N,N
2233,宇隆,未知,5.07,6.14,1.3|0.96|1.29|1.06|,4.85,15.34,3.3,0,3.12,3.54,4.19,44.57,74.4,30.33,43.35,71.1|63.03|,2020/8,N,N,N
2235,謚源,未知,3.09,4.29,0.95|0.25|0.64|0.29|,1.92,22.68,3,0,1.67,2.95,3.83,23.86,43.55,67.89,64.08,122.14|114.8|61.21|62.65|47.53|,2020/8,N,N,N
2239,英利-KY,未知,5.46,10.06,1.14|1.32|-0.83|1.29|,1.6,47.31,2.5,0,0.64,2.35,0.85,9.14,75.7,15.27,25.14,175.29|165.76|148.77|109.37|73.25|,2020/8,N,N,Y
2301,光寶科,未知,4.03,3.15,1.34|1.03|0.68|1.48|,4.21,11.16,3.2,0,4.47,4.82,9.51,63.86,47,68.82,48.87,43.11|47.04|38.86|46.5|46.35|,2020/8,Y,N,N
2303,聯電,半導體業,0.82,0.79,0.25|0.32|0.19|0.55|,2.04,12.4,0.8,0,1.6,4.26,6.32,22.86,25.3,75.83,63.74,12.03|13.67|14.97|13.32|17.2|,2020/8,N,Y,N
2308,台達電,電子零組件業,8.9,7.58,1.97|1.96|0.8|2.92|,8.2,22.99,5,0,5.62,2.76,2.98,80.29,188.5,48.36,36.67,154.52|159.54|122.05|147.87|156.06|,2020/8,N,N,N
2312,金寶,其他電子業,0.34,0.58,0.12|-0.11|0.03|0.18|,0.48,22.71,0.31,0,0.33,2.8,3.03,4.71,10.9,23.63,30.6,11.31|11.14|10.11|11|11.66|,2020/8,N,N,Y
2313,華通,電子零組件業,3.21,2.4,1.24|1.21|0.78|0.84|,3.93,12.09,1.2,0,1.56,3.86,3.28,22.29,47.5,70.41,58.98,17.28|28.7|28.98|30.98|42.33|,2020/8,N,Y,N
